date,open,high,low,close,volume,unadjustedVolume,vwap,change,BACKWARDSchange,changeOverTime,SMA8,SMA10,SMA20,SMA50,EMA8,EMA10,EMA20,EMA50,RSGAIN,RSLOSS,RSI,Target (t + 1)
7/15/15,0.322804658,0.322297904,0.324842716,0.324075984,0.086832242,0.151754419,0.353434657,0.612933603,0.387066397,0.324075983,0.51694938,0.520709525,0.531776551,0.544062556,0.31728995,0.317384529,0.323099549,0.341421411,0.2563744,0.248984468,0.478563381,1
7/16/15,0.334311617,0.330297436,0.334973463,0.33366323,0.096909273,0.165728725,0.361186968,0.630412801,0.369587199,0.33366323,0.518252544,0.521505984,0.531959505,0.544091446,0.321734772,0.321001893,0.324677112,0.341902316,0.305221612,0.234035636,0.53914652,1
7/17/15,0.341944887,0.336212003,0.340468332,0.339959727,0.13584393,0.219721296,0.367136483,0.609294194,0.390705806,0.339959727,0.520292912,0.522832002,0.532425926,0.5444547,0.326653514,0.325165425,0.326745696,0.342639625,0.337305453,0.215655896,0.585340522,1
7/20/15,0.352711039,0.355083566,0.354147267,0.353858679,0.185717089,0.288882816,0.382547669,0.658088519,0.341911481,0.353858679,0.525225145,0.525363116,0.533268293,0.545088657,0.33370568,0.331229387,0.330032804,0.34395564,0.408120891,0.161250701,0.700360462,0
7/21/15,0.363419835,0.354802346,0.351972493,0.346370465,0.255643419,0.385853038,0.37799912,0.520809855,0.479190145,0.346370465,0.530770001,0.527473085,0.534102626,0.545547817,0.337452397,0.334759087,0.332244221,0.344892684,0.382252027,0.193598753,0.642771272,0
7/22/15,0.301557325,0.313003329,0.304295498,0.314999215,0.407172769,0.595986111,0.340812789,0.367510845,0.632489155,0.314999215,0.531777226,0.528578121,0.533622141,0.545347091,0.333084044,0.331648941,0.331050034,0.344421528,0.348290271,0.329118234,0.485562765,0
7/23/15,0.325539062,0.321959963,0.321866581,0.314658897,0.154777147,0.245976904,0.350541011,0.566689952,0.433310048,0.314658897,0.531517661,0.530700598,0.533246196,0.545250079,0.329607435,0.329039208,0.329934919,0.343953971,0.348290271,0.326667611,0.487475933,0
7/24/15,0.320526088,0.314355094,0.315227605,0.31091479,0.120170314,0.197985935,0.343614145,0.544842074,0.455157926,0.31091479,0.530941412,0.53120934,0.53252043,0.545135922,0.326034256,0.32618811,0.328544689,0.343341069,0.348290271,0.332058987,0.483286688,0
7/27/15,0.30782309,0.302355796,0.305039228,0.301100264,0.129150691,0.210439457,0.333248496,0.505881717,0.494118283,0.301100263,0.528838698,0.530004243,0.531569497,0.544864946,0.32097679,0.321978888,0.326287305,0.342323141,0.348290271,0.366856909,0.457888872,1
7/28/15,0.309474963,0.304046099,0.307500332,0.304560571,0.08671044,0.151585511,0.335680695,0.591086844,0.408913156,0.304560571,0.526175252,0.529074356,0.530891972,0.544399094,0.317846476,0.319196578,0.324597323,0.341496406,0.365921618,0.290397169,0.530333419,0
7/29/15,0.308164815,0.301736635,0.305898218,0.3023485,0.099999863,0.170014596,0.333003155,0.55467365,0.44532635,0.302348499,0.522733111,0.527477283,0.530582361,0.543915682,0.31489828,0.316497202,0.322843005,0.340605386,0.365921618,0.238689688,0.580288259,0
7/30/15,0.303436813,0.296496757,0.302692777,0.298831071,0.086750271,0.151640746,0.329511634,0.546298532,0.453701468,0.298831071,0.51769704,0.524916955,0.529968165,0.543261656,0.311788709,0.313616101,0.320897533,0.339595538,0.273141018,0.253883662,0.489785576,0
7/31/15,0.305031933,0.296905749,0.298113922,0.292761253,0.123000153,0.201910209,0.325417653,0.529914167,0.470085833,0.292761253,0.51279078,0.521447645,0.528902635,0.542528178,0.307961117,0.310098306,0.318519167,0.338359938,0.204350542,0.280104441,0.39238128,0
8/3/15,0.298766167,0.296497354,0.278711417,0.27653659,0.229090626,0.349030997,0.314700615,0.464732853,0.535267147,0.27653659,0.509270719,0.515764107,0.527294294,0.541556336,0.301217737,0.304118006,0.314714916,0.336463501,0.204350542,0.348967429,0.340640382,0
